Title,URL,Author,Price
Rise of the Robots: Technology and the Threat of a Jobless Future,https://www.amazon.com/Rise-Robots-Technology-Threat-Jobless/dp/0465097537/ref=sr_1_3/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-3&keywords=automation,by Martin Ford,"$ 11 55 "
Network Programmability and Automation: Skills for the Next-Generation Network Engineer,https://www.amazon.com/Network-Programmability-Automation-Next-Generation-Engineer/dp/1491931256/ref=sr_1_4/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-4&keywords=automation,by Jason Edelman and Scott S. Lowe,"$ 33 70 "
Automation Made Easy: Everything You Wanted to Know about Automation-and Need to Ask,https://www.amazon.com/Automation-Made-Easy-Everything-Automation/dp/1936007061/ref=sr_1_5/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-5&keywords=automation,by Peter G. Martin and Gregory Hale,"$ 67 15 "
"The Future of Leadership: Rise of Automation, Robotics and Artificial Intelligence",https://www.amazon.com/Future-Leadership-Automation-Artificial-Intelligence/dp/9769609218/ref=sr_1_6/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-6&keywords=automation,by Brigette Tasha Hyacinth,"$ 22 00 "
Industrial Automation: Hands On,https://www.amazon.com/Industrial-Automation-Hands-Frank-Lamb/dp/0071816453/ref=sr_1_7/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-7&keywords=automation,by Frank Lamb,"$ 95 97 "
"Automation, Production Systems, and Computer-Integrated Manufacturing (4th Edition)",https://www.amazon.com/Automation-Production-Systems-Computer-Integrated-Manufacturing/dp/0133499618/ref=sr_1_10/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-10&keywords=automation,by Mikell P. Groover,"$ 64 24 "
"The Future of Work: Robots, AI, and Automation",https://www.amazon.com/Future-Work-Robots-AI-Automation/dp/0815732937/ref=sr_1_11/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-11&keywords=automation,by Darrell M. West,"$ 15 90 "
Scenic Automation Handbook,https://www.amazon.com/Scenic-Automation-Handbook-Gareth-Conner/dp/1138850276/ref=sr_1_12/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-12&keywords=automation,by Gareth Conner,"$ 61 70 "
The Robot and Automation Almanac - 2018: The Futurist Institute,https://www.amazon.com/Robot-Automation-Almanac-Futurist-Institute/dp/1946197033/ref=sr_1_13/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-13&keywords=automation,by Jason Schenker,"$ 29 95 "
"The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies",https://www.amazon.com/Second-Machine-Age-Prosperity-Technologies/dp/0393350649/ref=sr_1_14/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-14&keywords=automation,by Erik Brynjolfsson and Andrew McAfee,"$ 14 04 "
Marketing Automation For Dummies (For Dummies Series),https://www.amazon.com/Marketing-Automation-Dummies-Mathew-Sweezey/dp/1118772229/ref=sr_1_15/134-7633405-6763909?s=books&ie=UTF8&qid=1525853561&sr=1-15&keywords=automation,by Mathew Sweezey,
,,,"$ 0 00 "
,,,"$ 0 00 "
The Industries of the Future,https://www.amazon.com/Industries-Future-Alec-Ross-ebook/dp/B00UDCNJYO/ref=sr_1_16/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-16&keywords=automation,by Alec Ross,"$ 15 22 "
The Automation: Vol. 1 of the Circo del Herrero Series (Volume 1),https://www.amazon.com/Automation-Vol-Circo-del-Herrero/dp/0692259716/ref=sr_1_17/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-17&keywords=automation,by Anonymous and B.L.A.,"$ 11 86 "
,,,"$ 10 99 "
Building Automation Systems A To Z: How To Survive In A World Full Of Bas,https://www.amazon.com/Building-Automation-Systems-Survive-World/dp/1539914488/ref=sr_1_19/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-19&keywords=automation,by Phil Zito,"$ 149 99 "
Industrial Automated Systems: Instrumentation and Motion Control,https://www.amazon.com/Industrial-Automated-Systems-Instrumentation-Control/dp/1435488881/ref=sr_1_20/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-20&keywords=automation,by Terry L.M. Bartelt,"$ 116 63 "
Automation Airmanship: Nine Principles for Operating Glass Cockpit Aircraft,https://www.amazon.com/Automation-Airmanship-Principles-Operating-Aircraft/dp/0071815864/ref=sr_1_21/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-21&keywords=automation,by Christopher Lutat and S. Ryan Swah,"$ 66 22 "
Microsoft Azure Essentials Azure Automation,https://www.amazon.com/Microsoft-Azure-Essentials-Automation-ebook/dp/B00WL2734G/ref=sr_1_22/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-22&keywords=automation,by Michael McKeown,"$ 0 00 "
The Efficiency Paradox: What Big Data Can't Do,https://www.amazon.com/Efficiency-Paradox-What-Data-Cant-ebook/dp/B07465FLY4/ref=sr_1_23/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-23&keywords=automation,by Edward Tenner,"$ 17 84 "
,,,"$ 39 99 "
Introduction to Industrial Automation,https://www.amazon.com/Introduction-Industrial-Automation-Stamatios-Manesis/dp/1498705405/ref=sr_1_25/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-25&keywords=automation,by Stamatios Manesis and George Nikolakopoulos,"$ 106 60 "
Test Automation using Selenium WebDriver with Java: Step by Step Guide,https://www.amazon.com/Test-Automation-using-Selenium-WebDriver/dp/0992293510/ref=sr_1_26/134-7633405-6763909?s=books&ie=UTF8&qid=1525853571&sr=1-26&keywords=automation,by Mr Navneesh Garg,"$ 43 00 "
,,,"$ 8 99 "
,,,"$ 8 99 "
Automation Testing with UFT: A Beginner's Guide,https://www.amazon.com/Automation-Testing-UFT-Beginners-Guide/dp/1499324308/ref=sr_1_28?s=books&ie=UTF8&qid=1525853573&sr=1-28&keywords=automation,by Mr Sagar Salunke,"$ 15 00 "
Experiences of Test Automation: Case Studies of Software Test Automation,https://www.amazon.com/Experiences-Test-Automation-Studies-Software/dp/0321754069/ref=sr_1_29?s=books&ie=UTF8&qid=1525853573&sr=1-29&keywords=automation,by Dorothy Graham and Mark Fewster,"$ 50 95 "
Building Automation: Control Devices and Applications,https://www.amazon.com/Building-Automation-Control-Devices-Applications/dp/0826920004/ref=sr_1_30?s=books&ie=UTF8&qid=1525853573&sr=1-30&keywords=automation,by In Partnership with NJATC,
"Smart Home: Digital Assistants, Home Automation, and the Internet of Things",https://www.amazon.com/Smart-Home-Assistants-Automation-Internet/dp/1980952337/ref=sr_1_31?s=books&ie=UTF8&qid=1525853573&sr=1-31&keywords=automation,by Michael Stanton Young,"$ 19 95 "
,,,"$ 37 12 "
,,,"$ 54 99 "
Test Automation in the Real World: Practical Lessons for Automated Testing,https://www.amazon.com/Test-Automation-Real-World-Practical/dp/1520745923/ref=sr_1_34?s=books&ie=UTF8&qid=1525853573&sr=1-34&keywords=automation,by Greg Paskal,"$ 19 99 "
Test Automation Engineer: Guide to the ISTQB Advanced Level Certification,https://www.amazon.com/Test-Automation-Engineer-Advanced-Certification/dp/1937538087/ref=sr_1_35?s=books&ie=UTF8&qid=1525853573&sr=1-35&keywords=automation,by Andrew Pollner and Mark Fewster,"$ 43 62 "
Jenkins 2: Up and Running: Evolve Your Deployment Pipeline for Next Generation Automation,https://www.amazon.com/Jenkins-Deployment-Pipeline-Generation-Automation/dp/1491979593/ref=sr_1_36?s=books&ie=UTF8&qid=1525853573&sr=1-36&keywords=automation,by Brent Laster,"$ 56 99 "
,,,"$ 44 99 "
Home Attitude: Everything You Need To Know To Make Your Home Smart,https://www.amazon.com/Home-Attitude-Everything-Need-Smart/dp/1542710197/ref=sr_1_38?s=books&ie=UTF8&qid=1525853573&sr=1-38&keywords=automation,by John R. Patrick,"$ 14 99 "
"Automation, Production Systems, and Computer-Integrated Manufacturing (3rd Edition)",https://www.amazon.com/Automation-Production-Systems-Computer-Integrated-Manufacturing/dp/0132393212/ref=sr_1_39?s=books&ie=UTF8&qid=1525853574&sr=1-39&keywords=automation,by Mikell P. Groover,
,,,"$ 39 99 "
"Automation, Production Systems, And Computer-Integrated Manufacturing, 4 Ed",https://www.amazon.com/Automation-Production-Systems-Computer-Integrated-Manufacturing/dp/9332572496/ref=sr_1_41?s=books&ie=UTF8&qid=1525853574&sr=1-41&keywords=automation,by Groover,"$ 24 18 "
The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,https://www.amazon.com/Inevitable-Understanding-Technological-Forces-Future/dp/0143110373/ref=sr_1_42?s=books&ie=UTF8&qid=1525853574&sr=1-42&keywords=automation,by Kevin Kelly,"$ 12 23 "
Knowledge Automation: How to Implement Decision Management in Business Processes,https://www.amazon.com/Knowledge-Automation-Implement-Management-Processes/dp/111809476X/ref=sr_1_43?s=books&ie=UTF8&qid=1525853574&sr=1-43&keywords=automation,by Alan N. Fish and James Taylor,"$ 36 51 "
Manufacturing and Automation Technology,https://www.amazon.com/Manufacturing-Automation-Technology-Thomas-Wright/dp/1605255416/ref=sr_1_44?s=books&ie=UTF8&qid=1525853574&sr=1-44&keywords=automation,by R. Thomas Wright and Michael Berkeihiser,"$ 25 15 "
Automation of Water Resource Recovery Facilities (Manual of Practice),https://www.amazon.com/Automation-Resource-Recovery-Facilities-Practice/dp/1572782757/ref=sr_1_45?s=books&ie=UTF8&qid=1525853574&sr=1-45&keywords=automation,by Water Environment Federation,"$ 155 00 "
,,,"$ 59 99 "
,,,"$ 20 99 "
Stop Coding: Learn to test automate without coding and get that automation testing job,https://www.amazon.com/Stop-Coding-automate-without-automation-ebook/dp/B07B74V474/ref=sr_1_48?s=books&ie=UTF8&qid=1525853574&sr=1-48&keywords=automation,by Ajamo Adams,"$ 0 00 "
The Robots are Coming: A Human's Survival Guide to Profiting in the Age of Automation,https://www.amazon.com/Robots-are-Coming-Profiting-Automation/dp/1612436692/ref=sr_1_49?s=books&ie=UTF8&qid=1525853574&sr=1-49&keywords=automation,by John Pugliano,"$ 12 04 "
,,,"$ 26 64 "
Automation: Problem and Solution,https://www.amazon.com/Automation-Problem-Solution-Oswald-Mosley/dp/1908476613/ref=sr_1_51?s=books&ie=UTF8&qid=1525853576&sr=1-51&keywords=automation,by Oswald Mosley,"$ 6 00 "
,,,"$ 44 99 "
,,,"$ 124 08 "
,,,"$ 10 84 "
Automation: The Advent of the Automatic Factory,https://www.amazon.com/Automation-Automatic-Factory-John-Diebold/dp/B000WVU6LU/ref=sr_1_55?s=books&ie=UTF8&qid=1525853576&sr=1-55&keywords=automation,by John Diebold,
Automation vs. Autocracy: Robogeddon En Route,https://www.amazon.com/Automation-vs-Autocracy-Robogeddon-Route/dp/1980715270/ref=sr_1_56?s=books&ie=UTF8&qid=1525853576&sr=1-56&keywords=automation,by Atif A K,"$ 15 00 "
Expert Scripting and Automation for SQL Server DBAs,https://www.amazon.com/Expert-Scripting-Automation-Server-DBAs/dp/1484219422/ref=sr_1_57?s=books&ie=UTF8&qid=1525853576&sr=1-57&keywords=automation,by Peter A. Carter,"$ 44 99 "
Getting Started With Oracle Policy Automation [2018 Edition],https://www.amazon.com/Getting-Started-Oracle-Policy-Automation/dp/0995656576/ref=sr_1_58?s=books&ie=UTF8&qid=1525853576&sr=1-58&keywords=automation,by Richard Napier,"$ 54 99 "
,,,"$ 5 95 "
,,,"$ 44 99 "
Service Automation Framework,https://www.amazon.com/Service-Automation-Framework-Haren-Publishing/dp/9401800626/ref=sr_1_61?s=books&ie=UTF8&qid=1525853576&sr=1-61&keywords=automation,by Van Haren Publishing,"$ 52 14 "
Test Automation using Microsoft Coded UI with C#: Step by Step Guide,https://www.amazon.com/Test-Automation-using-Microsoft-Coded/dp/0992293545/ref=sr_1_62?s=books&ie=UTF8&qid=1525853576&sr=1-62&keywords=automation,by Mr Navneesh Garg and Mr Vaibhav Mittal,"$ 47 58 "
Building Automation Integration with Open Protocols,https://www.amazon.com/Building-Automation-Integration-Open-Protocols/dp/0826920128/ref=sr_1_63?s=books&ie=UTF8&qid=1525853578&sr=1-63&keywords=automation,by In Partnership with NJATC,
Smart Home Automation with Linux and Raspberry Pi,https://www.amazon.com/Smart-Home-Automation-Linux-Raspberry/dp/143025887X/ref=sr_1_66?s=books&ie=UTF8&qid=1525853578&sr=1-66&keywords=automation,by Steven Goodwin,"$ 44 72 "
Introduction to the ControlLogix Programmable Automation Controller with Labs,https://www.amazon.com/Introduction-ControlLogix-Programmable-Automation-Controller/dp/1111539294/ref=sr_1_67?s=books&ie=UTF8&qid=1525853578&sr=1-67&keywords=automation,by Gary A. Dunning,"$ 54 85 "
Just Enough Software Test Automation,https://www.amazon.com/Just-Enough-Software-Test-Automation/dp/0130084689/ref=sr_1_68?s=books&ie=UTF8&qid=1525853578&sr=1-68&keywords=automation,by Daniel J. Mosley and Bruce A. Posey,"$ 40 74 "
Automation Applications in Bio-Pharmaceuticals,https://www.amazon.com/Automation-Applications-Bio-Pharmaceuticals-George-Buckbee/dp/1934394254/ref=sr_1_69?s=books&ie=UTF8&qid=1525853578&sr=1-69&keywords=automation,by George Buckbee and Joseph Alford,"$ 75 25 "
"Overview of Industrial Process Automation, Second Edition",https://www.amazon.com/Overview-Industrial-Process-Automation-Second/dp/0128053542/ref=sr_1_70?s=books&ie=UTF8&qid=1525853578&sr=1-70&keywords=automation,by K.L.S. Sharma,"$ 95 46 "
,,,"$ 19 99 "
Automation: The Future of Weed Control in Cropping Systems,https://www.amazon.com/Automation-Future-Control-Cropping-Systems/dp/9400775113/ref=sr_1_72?s=books&ie=UTF8&qid=1525853578&sr=1-72&keywords=automation,by Stephen L. Young and Francis J. Pierce,"$ 168 89 "
Learn Selenium in 1 Day: Definitive Guide to Learn Selenium for Beginners,https://www.amazon.com/Learn-Selenium-Day-Definitive-Beginners-ebook/dp/B071YTMYXC/ref=sr_1_73?s=books&ie=UTF8&qid=1525853578&sr=1-73&keywords=automation,by Krishna Rungta,
"Manufacturing Automation: Metal Cutting Mechanics, Machine Tool Vibrations, and CNC Design",https://www.amazon.com/Manufacturing-Automation-Cutting-Mechanics-Vibrations/dp/0521172470/ref=sr_1_74?s=books&ie=UTF8&qid=1525853578&sr=1-74&keywords=automation,by Yusuf Altintas,"$ 81 19 "
Industrial Automation For Busies,https://www.amazon.com/Industrial-Automation-Busies-Gabriel-Brennan/dp/1523488999/ref=sr_1_75?s=books&ie=UTF8&qid=1525853579&sr=1-75&keywords=automation,by Gabriel Brennan,"$ 13 99 "
,,,"$ 49 60 "
Power Distribution Automation (Energy Engineering),https://www.amazon.com/Power-Distribution-Automation-Energy-Engineering/dp/1849198284/ref=sr_1_77?s=books&ie=UTF8&qid=1525853579&sr=1-77&keywords=automation,by Biswarup Das,"$ 88 35 "
"A Guide to the Automation Body of Knowledge, 2nd Edition",https://www.amazon.com/Guide-Automation-Body-Knowledge-2nd/dp/1556179847/ref=sr_1_78?s=books&ie=UTF8&qid=1525853579&sr=1-78&keywords=automation,by Vernon Trevathan,
VLSI Physical Design Automation: Theory and Practice,https://www.amazon.com/VLSI-Physical-Design-Automation-Practice/dp/9810238835/ref=sr_1_79?s=books&ie=UTF8&qid=1525853579&sr=1-79&keywords=automation,by Sadiq M Sait,"$ 34 56 "
Raspberry Pi Home Automation with Arduino - Second Edition,https://www.amazon.com/Raspberry-Pi-Home-Automation-Arduino/dp/1784399205/ref=sr_1_80?s=books&ie=UTF8&qid=1525853579&sr=1-80&keywords=automation,by Andrew K. Dennis,"$ 29 99 "
,,,"$ 8 19 "
,,,"$ 47 99 "
"Electronic Design Automation for IC Implementation, Circuit Design, and Process Technology",https://www.amazon.com/Electronic-Automation-Implementation-Circuit-Technology/dp/1138586013/ref=sr_1_83?s=books&ie=UTF8&qid=1525853579&sr=1-83&keywords=automation,by Luciano Lavagno and Igor L. Markov,"$ 79 95 "
BeagleBone Home Automation Blueprints,https://www.amazon.com/BeagleBone-Automation-Blueprints-Rodolfo-Giometti/dp/1783986026/ref=sr_1_84?s=books&ie=UTF8&qid=1525853579&sr=1-84&keywords=automation,by Rodolfo Giometti,"$ 44 99 "
,,,"$ 5 99 "
Chef Infrastructure Automation Cookbook - Second Edition,https://www.amazon.com/Chef-Infrastructure-Automation-Cookbook-Second/dp/178528794X/ref=sr_1_86?s=books&ie=UTF8&qid=1525853579&sr=1-86&keywords=automation,by Matthias Marschall,
Industrial Automation and Robotics: An Introduction,https://www.amazon.com/Industrial-Automation-Robotics-Introduction-Gupta/dp/1938549309/ref=sr_1_87?s=books&ie=UTF8&qid=1525853581&sr=1-87&keywords=automation,by A.K. Gupta and S.K. Arora,"$ 39 17 "
Guidelines for Safe Automation of Chemical Processes,https://www.amazon.com/Guidelines-Safe-Automation-Chemical-Processes/dp/1118949498/ref=sr_1_88?s=books&ie=UTF8&qid=1525853581&sr=1-88&keywords=automation,by CCPS (Center for Chemical Process Safety),"$ 27 50 "
,,,"$ 8 99 "
"The Automation, Systems, and Instrumentation Dictionary",https://www.amazon.com/Automation-Systems-Instrumentation-Dictionary/dp/155617778X/ref=sr_1_90?s=books&ie=UTF8&qid=1525853581&sr=1-90&keywords=automation,by Theodore G. Dimon,"$ 89 67 "
Post-parametric Automation in Design and Construction,https://www.amazon.com/Post-parametric-Automation-Design-Construction-Alfredo/dp/1608076938/ref=sr_1_91?s=books&ie=UTF8&qid=1525853581&sr=1-91&keywords=automation,by Alfredo Andia and Thomas Spiegelhalter,
Automation in Warehouse Development,https://www.amazon.com/Automation-Warehouse-Development-Roelof-Hamberg/dp/0857299670/ref=sr_1_92?s=books&ie=UTF8&qid=1525853581&sr=1-92&keywords=automation,by Roelof Hamberg and Jacques Verriet,"$ 89 41 "
Marketing Automation: Practical Steps to More Effective Direct Marketing,https://www.amazon.com/Marketing-Automation-Practical-Effective-Direct/dp/047012542X/ref=sr_1_93?s=books&ie=UTF8&qid=1525853581&sr=1-93&keywords=automation,by Jeff LeSueur,"$ 20 69 "
Algorithms for VLSI Physical Design Automation,https://www.amazon.com/Algorithms-VLSI-Physical-Design-Automation/dp/0792383931/ref=sr_1_95?s=books&ie=UTF8&qid=1525853581&sr=1-95&keywords=automation,by Naveed A. Sherwani,"$ 81 25 "
The Sales Funnel Book: How To Multiply Your Business With Marketing Automation,https://www.amazon.com/Sales-Funnel-Book-Marketing-Automation/dp/1540488098/ref=sr_1_96?s=books&ie=UTF8&qid=1525853581&sr=1-96&keywords=automation,by Nathan Williams,"$ 11 43 "
The Value of Automation: The Best Investment an Industrial Company Can Make,https://www.amazon.com/Value-Automation-Investment-Industrial-Company/dp/0876640927/ref=sr_1_97?s=books&ie=UTF8&qid=1525853581&sr=1-97&keywords=automation,by Peter G. Martin PhD,"$ 89 00 "
Machine Intelligence in Design Automation,https://www.amazon.com/Machine-Intelligence-Design-Automation-Sharma/dp/1980554358/ref=sr_1_98?s=books&ie=UTF8&qid=1525853581&sr=1-98&keywords=automation,by Rohit Sharma,"$ 124 00 "
,,,"$ 25 50 "
Substation Automation Systems: Design and Implementation,https://www.amazon.com/Substation-Automation-Systems-Design-Implementation/dp/1118987209/ref=sr_1_101?s=books&ie=UTF8&qid=1525853583&sr=1-101&keywords=automation,by Evelio Padilla,"$ 96 40 "
Automation in Garment Manufacturing (The Textile Institute Book Series),https://www.amazon.com/Automation-Garment-Manufacturing-Textile-Institute/dp/008101211X/ref=sr_1_102?s=books&ie=UTF8&qid=1525853583&sr=1-102&keywords=automation,by Rajkishore Nayak and Rajiv Padhye,"$ 160 07 "
Chef Infrastructure Automation Cookbook,https://www.amazon.com/Infrastructure-Automation-Cookbook-Matthias-Marschall/dp/1849519226/ref=sr_1_103?s=books&ie=UTF8&qid=1525853583&sr=1-103&keywords=automation,by Matthias Marschall,"$ 44 91 "
Certified Automation Professional,https://www.amazon.com/Certified-Automation-Professional-International-Society/dp/1934394831/ref=sr_1_106?s=books&ie=UTF8&qid=1525853583&sr=1-106&keywords=automation,by International Society of Automation,"$ 39 00 "
,,,"$ 38 07 "
